grid_id,year,week_of_season,fire_count,fire_count_last_week,same_week_last_year,3yr_avg,neighbor_fire_count,avg_frp,avg_brightness,night_fire_pct,avg_confidence
0_10,2018,3,3,0.0,0.0,0.0,8,3.1733333333333333,332.8066666666667,0.0,60.0
0_10,2018,4,3,3.0,0.0,0.0,25,7.636666666666667,336.37333333333333,0.0,60.0
0_10,2018,5,3,3.0,0.0,0.0,60,5.386666666666667,339.3833333333333,0.0,60.0
0_10,2018,6,46,3.0,0.0,0.0,265,9.402391304347827,340.8967391304348,0.0,64.34782608695652
0_10,2018,7,44,46.0,0.0,0.0,144,9.496818181818183,337.695,0.0,62.47727272727273
0_10,2018,8,34,44.0,0.0,0.0,78,10.89735294117647,339.3044117647059,0.0,62.61764705882353
0_10,2019,4,4,0.0,3.0,3.0,10,6.3500000000000005,334.085,0.0,60.0
0_10,2019,5,6,4.0,3.0,3.0,35,6.54,334.4583333333333,0.0,58.333333333333336
0_10,2019,6,7,6.0,46.0,46.0,91,3.994285714285714,334.7114285714286,0.0,60.0
0_10,2019,8,16,7.0,34.0,34.0,101,11.77125,335.234375,0.0,64.6875
0_10,2019,9,2,16.0,0.0,0.0,19,6.66,323.335,0.0,56.0
0_10,2020,3,5,0.0,0.0,3.0,19,6.798,338.402,0.0,67.4
0_10,2020,4,3,5.0,4.0,3.5,27,2.8066666666666666,332.55333333333334,0.0,60.0
0_10,2020,5,3,3.0,6.0,4.5,10,5.75,334.3333333333333,0.0,61.666666666666664
0_10,2020,6,20,3.0,7.0,26.5,59,12.014,338.5555,0.0,61.85
0_10,2020,7,80,20.0,0.0,44.0,316,9.071,338.632,0.0,63.2
0_10,2020,8,53,80.0,16.0,25.0,202,8.46566037735849,337.487358490566,0.0,63.283018867924525
0_10,2020,9,2,53.0,2.0,2.0,15,3.04,333.215,0.0,60.0
0_10,2021,2,6,0.0,0.0,0.0,16,4.788333333333333,336.2916666666667,0.0,60.0
0_10,2021,3,2,6.0,5.0,4.0,18,2.63,332.485,0.0,60.0
0_10,2021,5,11,2.0,3.0,4.0,98,4.249090909090909,334.9281818181818,0.0,59.36363636363637
0_10,2021,6,61,11.0,20.0,24.333333333333332,409,11.883934426229507,335.86032786885244,0.0,62.42622950819672
0_10,2021,7,45,61.0,80.0,62.0,172,9.001777777777777,336.79622222222224,0.0,60.644444444444446
0_10,2022,4,3,0.0,0.0,3.3333333333333335,10,7.8933333333333335,326.7633333333333,0.0,57.666666666666664
0_10,2022,5,12,3.0,11.0,6.666666666666667,62,5.029166666666667,335.62166666666667,0.0,60.0
0_10,2022,6,63,12.0,61.0,29.333333333333332,262,10.009841269841269,338.9074603174603,0.0,62.904761904761905
0_10,2022,7,25,63.0,45.0,56.333333333333336,89,13.496400000000001,340.9936,0.0,63.68
0_10,2022,8,8,25.0,0.0,34.333333333333336,19,11.91,330.04375,0.0,61.375
0_10,2023,5,5,0.0,12.0,8.666666666666666,1,8.542,327.416,0.0,65.2
0_10,2023,6,1,5.0,63.0,48.0,22,1.51,330.56,0.0,60.0
0_10,2023,7,17,1.0,25.0,50.0,122,18.467058823529413,332.32529411764705,0.0,66.52941176470588
0_10,2023,8,22,17.0,8.0,25.666666666666668,78,9.86,338.0954545454546,0.0,65.0
0_11,2018,2,1,0.0,0.0,0.0,3,3.28,332.33,0.0,60.0
0_11,2018,4,3,1.0,0.0,0.0,19,4.743333333333333,336.96,0.0,60.0
0_11,2018,5,5,3.0,0.0,0.0,36,6.326,329.182,0.0,60.8
0_11,2018,6,33,5.0,0.0,0.0,230,6.882424242424243,337.95484848484847,0.0,61.81818181818182
0_11,2018,7,28,33.0,0.0,0.0,144,11.093571428571428,336.8764285714286,0.0,61.32142857142857
0_11,2018,8,19,28.0,0.0,0.0,72,7.263684210526315,335.7731578947368,0.0,63.0
0_11,2019,2,1,0.0,1.0,1.0,0,2.58,333.95,0.0,60.0
0_11,2019,5,3,1.0,5.0,5.0,22,22.453333333333333,332.02666666666664,0.0,69.33333333333333
0_11,2019,6,9,3.0,33.0,33.0,89,10.68888888888889,349.78,0.0,70.0
0_11,2019,8,16,9.0,19.0,19.0,78,8.125625,333.945625,0.0,62.125
0_11,2019,9,6,16.0,0.0,0.0,12,10.208333333333334,330.52500000000003,0.0,65.16666666666667
0_11,2020,3,2,0.0,0.0,0.0,21,11.52,353.63,0.0,75.0
0_11,2020,4,3,2.0,0.0,3.0,31,5.04,336.41333333333336,0.0,60.0
0_11,2020,5,3,3.0,3.0,4.0,26,7.346666666666667,332.00333333333333,0.0,58.0
0_11,2020,6,9,3.0,9.0,21.0,72,5.25,337.37333333333333,0.0,59.0
0_11,2020,7,27,9.0,0.0,28.0,340,9.87962962962963,338.39962962962966,0.0,62.22222222222222
0_11,2020,8,41,27.0,16.0,17.5,140,8.11780487804878,338.78585365853655,0.0,65.58536585365853
0_11,2020,9,1,41.0,6.0,6.0,7,3.45,338.02,0.0,60.0
0_11,2021,2,1,0.0,0.0,1.0,21,5.9,344.51,0.0,60.0
0_11,2021,3,3,1.0,2.0,2.0,14,5.453333333333333,338.81333333333333,0.0,60.0
0_11,2021,5,11,3.0,3.0,3.6666666666666665,85,9.90090909090909,334.84363636363634,0.0,64.0909090909091
0_11,2021,6,50,11.0,9.0,17.0,349,8.0576,337.466,0.0,62.42
0_11,2021,7,61,50.0,27.0,27.5,141,8.875737704918032,337.9462295081967,0.0,63.81967213114754
0_11,2021,8,2,61.0,41.0,25.333333333333332,4,3.0,335.40999999999997,0.0,60.0
0_11,2022,1,1,0.0,0.0,0.0,1,7.01,334.73,0.0,60.0
0_11,2022,3,2,1.0,3.0,2.5,9,2.8899999999999997,332.46,0.0,60.0
0_11,2022,4,2,2.0,0.0,3.0,16,3.08,336.04999999999995,0.0,60.0
0_11,2022,5,17,2.0,11.0,5.666666666666667,70,5.861764705882353,337.8547058823529,0.0,62.11764705882353
0_11,2022,6,37,17.0,50.0,22.666666666666668,258,8.677297297297297,335.06405405405405,0.0,62.32432432432432
0_11,2022,7,21,37.0,61.0,38.666666666666664,73,9.282857142857143,338.6052380952381,0.0,63.19047619047619
0_11,2022,8,2,21.0,2.0,19.666666666666668,15,2.7,332.845,0.0,60.0
0_11,2023,6,2,0.0,37.0,32.0,13,11.31,336.59000000000003,0.0,60.0
0_11,2023,7,17,2.0,21.0,36.333333333333336,119,10.565882352941177,333.7994117647059,0.0,64.6470588235294
0_11,2023,8,20,17.0,2.0,15.0,82,6.3905,335.7865,0.0,62.2
0_12,2021,4,1,0.0,0.0,0.0,12,2.94,339.76,0.0,60.0
0_12,2021,7,1,1.0,0.0,0.0,111,19.0,322.5,0.0,76.0
